ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,CensusTractNo,County,State,ID Geography,Geoid10
2017,2017,0,Total,27212,6310,"Census Tract 6120, Cook County, IL",6120,Cook County,IL,14000US17031612000,17031612000
2017,2017,0,Total,55194,6619,"Census Tract 1105.02, Cook County, IL",1105.02,Cook County,IL,14000US17031110502,17031110502
2017,2017,0,Total,124338,23748,"Census Tract 1201, Cook County, IL",1201,Cook County,IL,14000US17031120100,17031120100
2017,2017,0,Total,48800,7736,"Census Tract 8397, Cook County, IL",8397,Cook County,IL,14000US17031839700,17031839700
2017,2017,0,Total,25231,5215,"Census Tract 6119, Cook County, IL",6119,Cook County,IL,14000US17031611900,17031611900
2017,2017,0,Total,108954,10148,"Census Tract 1202, Cook County, IL",1202,Cook County,IL,14000US17031120200,17031120200
2017,2017,0,Total,121793,12037,"Census Tract 1203, Cook County, IL",1203,Cook County,IL,14000US17031120300,17031120300
2017,2017,0,Total,31138,6215,"Census Tract 6118, Cook County, IL",6118,Cook County,IL,14000US17031611800,17031611800
2017,2017,0,Total,82167,12948,"Census Tract 1204, Cook County, IL",1204,Cook County,IL,14000US17031120400,17031120400
2017,2017,0,Total,40503,8905,"Census Tract 1301, Cook County, IL",1301,Cook County,IL,14000US17031130100,17031130100
2017,2017,0,Total,35461,9430,"Census Tract 8396, Cook County, IL",8396,Cook County,IL,14000US17031839600,17031839600
2017,2017,0,Total,109390,10357,"Census Tract 7206, Cook County, IL",7206,Cook County,IL,14000US17031720600,17031720600
2017,2017,0,Total,77800,7184,"Census Tract 1302, Cook County, IL",1302,Cook County,IL,14000US17031130200,17031130200
2017,2017,0,Total,25074,6695,"Census Tract 6117, Cook County, IL",6117,Cook County,IL,14000US17031611700,17031611700
2017,2017,0,Total,58214,9841,"Census Tract 1303, Cook County, IL",1303,Cook County,IL,14000US17031130300,17031130300
2017,2017,0,Total,36014,5699,"Census Tract 6116, Cook County, IL",6116,Cook County,IL,14000US17031611600,17031611600
2017,2017,0,Total,39961,7293,"Census Tract 1401, Cook County, IL",1401,Cook County,IL,14000US17031140100,17031140100
2017,2017,0,Total,42694,7640,"Census Tract 1402, Cook County, IL",1402,Cook County,IL,14000US17031140200,17031140200
2017,2017,0,Total,21719,9037,"Census Tract 8395, Cook County, IL",8395,Cook County,IL,14000US17031839500,17031839500
2017,2017,0,Total,28333,6269,"Census Tract 6115, Cook County, IL",6115,Cook County,IL,14000US17031611500,17031611500
2017,2017,0,Total,40192,9076,"Census Tract 1403.01, Cook County, IL",1403.01,Cook County,IL,14000US17031140301,17031140301
2017,2017,0,Total,72577,11639,"Census Tract 1403.02, Cook County, IL",1403.02,Cook County,IL,14000US17031140302,17031140302
2017,2017,0,Total,35016,7104,"Census Tract 6114, Cook County, IL",6114,Cook County,IL,14000US17031611400,17031611400
2017,2017,0,Total,73906,11083,"Census Tract 1404, Cook County, IL",1404,Cook County,IL,14000US17031140400,17031140400
